File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"reset(start, pattern, flags)",7,7,7,0,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,raise(message),2,2,2,0,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,at(i),11,11,6,5,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,nextIndex(i),11,11,6,5,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,current(),2,2,1,1,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,lookahead(),2,2,1,1,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,advance(),2,2,2,0,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,eat(ch),6,6,3,3,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,codePointToString$1(ch),4,4,3,2,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(state),15,13,10,3,2,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(state),12,6,5,1,1,0,5,59,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(state),31,27,21,6,3,2,1,12,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(state),15,12,9,3,2,2,1,10,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(state),3,3,2,1,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(state),20,14,7,7,2,0,4,21,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(state),35,28,17,11,4,7,3,29,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(state, noError)",8,7,4,4,1,1,0,2,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(state, noError)",7,7,1,1,0,3,0,6,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(state, noError)",23,22,14,8,0,3,1,9,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(state),9,9,1,1,0,1,0,2,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(state),9,9,5,4,0,1,0,2,
